ID_Order	ID_StatusOrder	DateOrder	DateDelivery	ID_CompositionOrder	CountProduct	ID_PickUp	ID_Client	CodeReceive
1	2	10.05.2022	16.05.2022	1	5	27	7	811
2	2	10.05.2022	16.05.2022	25	7	27	7	811
3	2	11.05.2022	17.05.2022	4	5	5		812
4	2	11.05.2022	17.05.2022	25	9	5		812
5	2	12.05.2022	18.05.2022	12	4	29		813
6	2	12.05.2022	18.05.2022	11	8	29		813
7	2	13.05.2022	19.05.2022	13	6	10		814
8	2	13.05.2022	19.05.2022	24	1	10		814
9	2	14.05.2022	20.05.2022	28	2	31	8	815
10	2	14.05.2022	20.05.2022	21	1	31	8	815
11	2	15.05.2022	21.05.2022	19	4	32		816
12	2	15.05.2022	21.05.2022	23	1	32		816
13	2	16.05.2022	22.05.2022	7	2	20		817
14	2	16.05.2022	22.05.2022	18	5	20		817
15	1	17.05.2022	23.05.2022	29	1	34	9	818
16	1	17.05.2022	23.05.2022	20	3	34	9	818
17	2	18.05.2022	24.05.2022	27	2	35	10	819
18	2	18.05.2022	24.05.2022	9	3	35	10	819
19	1	19.05.2022	25.05.2022	17	6	36		820
20	1	19.05.2022	25.05.2022	8	7	36		820
